analysis_type,scenario_id,profiling_zip,patient_zip_for_assignment_routing,assignment_zip_routing_applied,scenario_source_mode,distance_from_configured_office_miles,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,metric_key,metric_display_name,metric_direction,metric_weight,display_mean,display_sd,display_q10,display_q50,display_q90,best_display_mean,worst_display_mean,metric_need_mean,risk_score_rho_raw,risk_percentile_u,threshold_percentile,risk_threshold_classification,public_data_only,expert_configured,semi_synthetic,simulation_based,outcome_validated,points_from_best,points_from_worst,distance_from_best_label,distance_from_worst_label,relative_to_anchor_language
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,8.955329718649955,1.1551245218294008,7.474978079300526,8.955329718649955,10.43568135799938,6.7639941378592665,16.236005862140736,0.2313484869505817,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.191335580790688,7.280676143490782,points_above_best,points_below_worst,8.96% is 2.19 points above best and 7.28 points below worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,DTC,Discharge to Community–Post Acute Care (DTC-PAC),higher_is_better,0.09,76.21377368366245,1.1654658361905226,74.72016911670373,76.21377368366245,77.70737825062116,78.20719647496098,69.79280352503902,0.23690631078942134,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.9934227912985278,6.420970158623433,points_below_best,points_above_worst,76.21% is 1.99 points below best and 6.42 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,DFS,Discharge Function Score (DFS/DC Function),higher_is_better,0.2,77.72545284392666,1.173420179485514,76.22165437586538,77.72545284392666,79.22925131198795,79.61656533329264,71.58343466670735,0.23541413277793108,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.8911124893659803,6.142018177219313,points_below_best,points_above_worst,77.73% is 1.89 points below best and 6.14 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Oral_Meds,Improvement in Management of Oral Medications,higher_is_better,0.09,89.98887203640801,1.4037995578309987,88.18983051535888,89.98887203640801,91.78791355745714,91.91507202821043,84.28492797178956,0.2524460845770658,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.9261999918024202,5.7039440646184545,points_below_best,points_above_worst,89.99% is 1.93 points below best and 5.70 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Dyspnea,Improvement in Dyspnea,higher_is_better,0.06,93.73393819713088,1.3243157157968015,92.03675931827617,93.73393819713088,95.43111707598558,94.94666692718015,88.45333307281986,0.18676518984695575,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.212728730049264,5.280605124311023,points_below_best,points_above_worst,93.73% is 1.21 points below best and 5.28 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Recommend,Willingness to Recommend,higher_is_better,0.06,81.31244094433922,1.2745777051268419,79.67900389092567,81.31244094433922,82.94587799775276,82.17282906153739,77.82717093846263,0.19798799004220907,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,0.8603881171981698,3.485270005876586,points_below_best,points_above_worst,81.31% is 0.86 points below best and 3.49 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Agency_Rating,Overall / Agency Rating,higher_is_better,0.06,87.55884650548748,1.34961503981989,85.82924523832375,87.55884650548748,89.2884477726512,88.65301358499646,84.14698641500355,0.24282300976687202,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.0941670795089777,3.411860090483927,points_below_best,points_above_worst,87.56% is 1.09 points below best and 3.41 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Care_Issues,Specific Care Issues,higher_is_better,0.06,86.54446541807694,1.450372552104185,84.68573820330491,86.54446541807694,88.40319263284897,87.80551847593341,83.19448152406659,0.2734857844385573,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.261053057856472,3.34998389401035,points_below_best,points_above_worst,86.54% is 1.26 points below best and 3.35 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Communications,Communications Between Providers and Patients,higher_is_better,0.06,88.94565005005967,1.3735331176966632,87.18539653274816,88.94565005005967,90.70590356737118,89.99100274912888,86.00899725087112,0.26251915009323396,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.0453526990692126,2.9366527991885505,points_below_best,points_above_worst,88.95% is 1.05 points below best and 2.94 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_40_50,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_40_50,average,metropolitan,single_home,near,good_summer,Care_of_Patients,Care of Patients,higher_is_better,0.06,91.38255673010218,1.369822391315976,89.62705869999314,91.38255673010218,93.13805476021122,92.21028390675734,88.18971609324268,0.20587320374820017,0.233442408421883,0.08360836083608389,0.75,at_or_below_pilot_threshold,True,True,True,True,False,0.8277271766551593,3.1928406368595006,points_below_best,points_above_worst,91.38% is 0.83 points below best and 3.19 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,9.323827854433143,1.1697266261612251,7.82476286541702,9.323827854433143,10.822892843449265,6.7639941378592665,16.236005862140736,0.27025238049608313,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.559833716573876,6.912178007707594,points_above_best,points_below_worst,9.32% is 2.56 points above best and 6.91 points below worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,DTC,Discharge to Community–Post Acute Care (DTC-PAC),higher_is_better,0.09,75.91938635161414,1.1747240487216153,74.41391690789206,75.91938635161414,77.42485579533621,78.20719647496098,69.79280352503902,0.2718924748300544,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.287810123346844,6.126582826575117,points_below_best,points_above_worst,75.92% is 2.29 points below best and 6.13 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,DFS,Discharge Function Score (DFS/DC Function),higher_is_better,0.2,77.43690281620651,1.1822564008065857,75.9217802748777,77.43690281620651,78.9520253575353,79.61656533329264,71.58343466670735,0.27133412956329456,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.179662517086129,5.8534681494991645,points_below_best,points_above_worst,77.44% is 2.18 points below best and 5.85 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Oral_Meds,Improvement in Management of Oral Medications,higher_is_better,0.09,89.6560243457701,1.4136301124612667,87.84438446204439,89.6560243457701,91.46766422949584,91.91507202821043,84.28492797178956,0.29606881151074793,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.2590476824403254,5.371096373980549,points_below_best,points_above_worst,89.66% is 2.26 points below best and 5.37 points above worst.
