analysis_type,scenario_id,profiling_zip,patient_zip_for_assignment_routing,assignment_zip_routing_applied,scenario_source_mode,distance_from_configured_office_miles,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,metric_key,metric_display_name,metric_direction,metric_weight,display_mean,display_sd,display_q10,display_q50,display_q90,best_display_mean,worst_display_mean,metric_need_mean,risk_score_rho_raw,risk_percentile_u,threshold_percentile,risk_threshold_classification,public_data_only,expert_configured,semi_synthetic,simulation_based,outcome_validated,points_from_best,points_from_worst,distance_from_best_label,distance_from_worst_label,relative_to_anchor_language
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,DTC,Discharge to Community–Post Acute Care (DTC-PAC),higher_is_better,0.09,75.15397928828854,1.1733128188554163,73.65031840841084,75.15397928828854,76.65764016816625,78.20719647496098,69.79280352503902,0.3628565013356974,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.053217186672441,5.36117576324952,points_below_best,points_above_worst,75.15% is 3.05 points below best and 5.36 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,DFS,Discharge Function Score (DFS/DC Function),higher_is_better,0.2,76.68667274413409,1.1809092614988812,75.17327663129407,76.68667274413409,78.2000688569741,79.61656533329264,71.58343466670735,0.3647261212052446,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.9298925891585554,5.103238077426738,points_below_best,points_above_worst,76.69% is 2.93 points below best and 5.10 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Oral_Meds,Improvement in Management of Oral Medications,higher_is_better,0.09,88.79062035011157,1.4121310487890149,86.98090159378187,88.79062035011157,90.60033910644127,91.91507202821043,84.28492797178956,0.4094879015383195,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.1244516780988647,4.50569237832201,points_below_best,points_above_worst,88.79% is 3.12 points below best and 4.51 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Dyspnea,Improvement in Dyspnea,higher_is_better,0.06,93.01074637545346,1.3275383126276699,91.30943757258504,93.01074637545346,94.7120551783219,94.94666692718015,88.45333307281986,0.298139691435503,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.9359205517266815,4.557413302633606,points_below_best,points_above_worst,93.01% is 1.94 points below best and 4.56 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Recommend,Willingness to Recommend,higher_is_better,0.06,81.03352683345153,1.2750762546550063,79.39945086310966,81.03352683345153,82.6676028037934,82.17282906153739,77.82717093846263,0.2621702388497473,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.1393022280858531,3.206355894988903,points_below_best,points_above_worst,81.03% is 1.14 points below best and 3.21 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Agency_Rating,Overall / Agency Rating,higher_is_better,0.06,87.21144300290318,1.350345437788135,85.48090569307979,87.21144300290318,88.94198031272657,88.65301358499646,84.14698641500355,0.31992052593316855,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.4415705820932772,3.0644565878996275,points_below_best,points_above_worst,87.21% is 1.44 points below best and 3.06 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Care_Issues,Specific Care Issues,higher_is_better,0.06,85.93126745767343,1.452489078291046,84.0698278054531,85.93126745767343,87.79270710989375,87.80551847593341,83.19448152406659,0.4064706134053371,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.874251018259983,2.736785933606839,points_below_best,points_above_worst,85.93% is 1.87 points below best and 2.74 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Communications,Communications Between Providers and Patients,higher_is_better,0.06,88.46625263392602,1.3748994453882988,86.70424809722223,88.46625263392602,90.22825717062979,89.99100274912888,86.00899725087112,0.38291009790669134,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.5247501152028633,2.4572553830548998,points_below_best,points_above_worst,88.47% is 1.52 points below best and 2.46 points above worst.
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,Care_of_Patients,Care of Patients,higher_is_better,0.06,90.96781673254378,1.3708479101144806,89.21100444721303,90.96781673254378,92.72462901787453,92.21028390675734,88.18971609324268,0.3090277870795148,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.2424671742135587,2.778100639301101,points_below_best,points_above_worst,90.97% is 1.24 points below best and 2.78 points above worst.
reno_geographic_sensitivity,reno_geography_89502,89502,,False,offline_demo_fallback_configured_market_profile,1.929,moderate,age_70_80,low,metropolitan,single_home,near,good_summer,DTC,Discharge to Community–Post Acute Care (DTC-PAC),higher_is_better,0.09,74.3969832915929,1.1540771166954287,72.91797395593268,74.3969832915929,75.87599262725313,78.20719647496098,69.79280352503902,0.45282092315446415,0.42031506135424535,0.453145314531461,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.8102131833680772,4.604179766553884,points_below_best,points_above_worst,74.40% is 3.81 points below best and 4.60 points above worst.
