analysis_type,scenario_id,profiling_zip,patient_zip_for_assignment_routing,assignment_zip_routing_applied,scenario_source_mode,distance_from_configured_office_miles,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,metric_key,metric_display_name,metric_direction,metric_weight,display_mean,display_sd,display_q10,display_q50,display_q90,best_display_mean,worst_display_mean,metric_need_mean,risk_score_rho_raw,risk_percentile_u,threshold_percentile,risk_threshold_classification,public_data_only,expert_configured,semi_synthetic,simulation_based,outcome_validated,points_from_best,points_from_worst,distance_from_best_label,distance_from_worst_label,relative_to_anchor_language
reno_geographic_sensitivity,reno_geography_89501,89501,,False,offline_demo_fallback_configured_market_profile,0.0,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.281923007469427,1.1675051930785048,8.785704899498217,10.281923007469427,11.778141115440636,6.7639941378592665,16.236005862140736,0.37140250371438643,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.5179288696101603,5.954082854671309,points_above_best,points_below_worst,10.28% is 3.52 points above best and 5.95 points below worst.
reno_geographic_sensitivity,reno_geography_89502,89502,,False,offline_demo_fallback_configured_market_profile,1.929,moderate,age_70_80,low,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,11.068052363806895,1.1466416944637985,9.598571905148102,11.068052363806897,12.53753282246569,6.7639941378592665,16.236005862140736,0.45439747661145635,0.42031506135424535,0.453145314531461,0.75,at_or_below_pilot_threshold,True,True,True,True,False,4.304058225947629,5.167953498333841,points_above_best,points_below_worst,11.07% is 4.30 points above best and 5.17 points below worst.
reno_geographic_sensitivity,reno_geography_89503,89503,,False,offline_demo_fallback_configured_market_profile,1.882,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.281923007469427,1.1675051930785048,8.785704899498217,10.281923007469427,11.778141115440636,6.7639941378592665,16.236005862140736,0.37140250371438643,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.5179288696101603,5.954082854671309,points_above_best,points_below_worst,10.28% is 3.52 points above best and 5.95 points below worst.
reno_geographic_sensitivity,reno_geography_89506,89506,,False,offline_demo_fallback_configured_market_profile,6.762,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.281923007469427,1.1675051930785048,8.785704899498217,10.281923007469427,11.778141115440636,6.7639941378592665,16.236005862140736,0.37140250371438643,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.5179288696101603,5.954082854671309,points_above_best,points_below_worst,10.28% is 3.52 points above best and 5.95 points below worst.
reno_geographic_sensitivity,reno_geography_89509,89509,,False,offline_demo_fallback_configured_market_profile,2.325,moderate,age_70_80,high,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,9.495793651131963,1.1466416944637985,8.026313192473168,9.495793651131965,10.965274109790759,6.7639941378592665,16.236005862140736,0.2884075308173171,0.2951633561298519,0.16751675167518543,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.731799513272697,6.740212211008773,points_above_best,points_below_worst,9.50% is 2.73 points above best and 6.74 points below worst.
reno_geographic_sensitivity,reno_geography_89523,89523,,False,offline_demo_fallback_configured_market_profile,4.996,moderate,age_70_80,high,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,9.495793651131963,1.1466416944637985,8.026313192473168,9.495793651131965,10.965274109790759,6.7639941378592665,16.236005862140736,0.2884075308173171,0.2951633561298519,0.16751675167518543,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.731799513272697,6.740212211008773,points_above_best,points_below_worst,9.50% is 2.73 points above best and 6.74 points below worst.
reno_geographic_sensitivity,reno_geography_89431,89431,,False,offline_demo_fallback_configured_market_profile,3.637,moderate,age_70_80,low,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,11.068052363806895,1.1466416944637985,9.598571905148102,11.068052363806897,12.53753282246569,6.7639941378592665,16.236005862140736,0.45439747661145635,0.42031506135424535,0.453145314531461,0.75,at_or_below_pilot_threshold,True,True,True,True,False,4.304058225947629,5.167953498333841,points_above_best,points_below_worst,11.07% is 4.30 points above best and 5.17 points below worst.
reno_geographic_sensitivity,reno_geography_89433,89433,,False,offline_demo_fallback_configured_market_profile,5.521,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.281923007469427,1.1675051930785048,8.785704899498217,10.281923007469427,11.778141115440636,6.7639941378592665,16.236005862140736,0.37140250371438643,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.5179288696101603,5.954082854671309,points_above_best,points_below_worst,10.28% is 3.52 points above best and 5.95 points below worst.
reno_geographic_sensitivity,reno_geography_89434,89434,,False,offline_demo_fallback_configured_market_profile,5.728,moderate,age_70_80,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.281923007469427,1.1675051930785048,8.785704899498217,10.281923007469427,11.778141115440636,6.7639941378592665,16.236005862140736,0.37140250371438643,0.3577392087420487,0.2994799479948162,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.5179288696101603,5.954082854671309,points_above_best,points_below_worst,10.28% is 3.52 points above best and 5.95 points below worst.
reno_geographic_sensitivity,reno_geography_89436,89436,,False,offline_demo_fallback_configured_market_profile,9.405,moderate,age_70_80,average,micropolitan,single_home,medium,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,10.449272175203797,1.16507178224133,8.956172608700582,10.449272175203797,11.942371741707012,6.7639941378592665,16.236005862140736,0.38907025715533405,0.39072527621816144,0.380188018801885,0.75,at_or_below_pilot_threshold,True,True,True,True,False,3.6852780373445304,5.786733686936939,points_above_best,points_below_worst,10.45% is 3.69 points above best and 5.79 points below worst.
