scenario,scenario_description,seed,policy,policy_name,threshold_percentile,n_patients,n_service_needs,assigned_count,unassigned_rate,tps_proxy,simulated_outcome_utility,expected_outcome_utility,scenario_oracle_utility,high_risk_full_pool_share,zip_fallback_rate,zip_continuity_rate,workload_spread,workload_gini,new_assignment_workload_gini,max_overload,mean_utilization,travel_proxy,top_tier_access_rate,fairness_gap_age_group,fairness_gap_zip,fairness_gap_area_type,fairness_gap_housing_type,fairness_gap_house_price_group,fairness_gap_clinical_need_decile,assignment_signature,threshold_rerun_id,rerun_design_fingerprint,common_random_numbers,capacity_constraints_enforced,availability_constraints_enforced,discipline_constraints_enforced,ot_deterministic_rotation_preserved,cms_model,performance_year,payment_year,measure_set_version,cms_version_locked,threshold_source,risk_reference_id,risk_reference_config_hash,risk_reference_sample_size,threshold_raw_equivalent,risk_percentile_semantics,public_data_only,synthetic_data,production_validated,metric_performance_DFS,metric_performance_Dyspnea,metric_performance_Oral_Meds,metric_performance_DTC,metric_performance_PPH,metric_performance_Care_of_Patients,metric_performance_Communications,metric_performance_Care_Issues,metric_performance_Agency_Rating,metric_performance_Recommend,config_hash,design_label,capacity_ratio,zip_sparsity,roster_RN,roster_PT,roster_OT,best_included_policy_utility,regret_vs_best_included_policy,regret_vs_scenario_oracle,oracle_regret_available,regret_reference,roster_scale
F,positive ZIP-continuity benefit,0,P4,threshold_hard_zip_sponsor_policy,0.25,200,600,420,0.30000000000000004,47.056008621200704,0.4711311314005093,0.4704745653915363,0.7029544111314228,0.675,0.015384615384615385,0.8714285714285714,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,17.803571428571427,0.2714285714285714,0.06722385729327535,0.19778162183155668,0.09559636095045315,0.08486942284585858,0.05487121964113062,0.28075867358505213,7da3dd621adf26cf992cb6a4580b6328ae58c2982fec208d1b225501b27537b6,ca1f84dca4095dac,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4673277727091592,0.46413317337405224,0.46769254812048494,0.46532447703840435,0.5276749578117375,0.47280658931675373,0.4733398187621618,0.47705093746799015,0.47504304475669357,0.4762679102711301,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4704745653915363,0.0,0.23247984573988645,True,unconstrained_latent_information_upper_bound,0.75
F,positive ZIP-continuity benefit,0,P5,threshold_soft_zip_bonus,0.25,200,600,420,0.30000000000000004,46.4947586212007,0.46551863140050925,0.46486206539153635,0.7029544111314228,0.675,0.0,0.780952380952381,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,17.553571428571427,0.2714285714285714,0.07052028002017613,0.19563352242272913,0.09335867731485531,0.08902206395153522,0.06111779586551547,0.24586711376242742,c1f49986f00cd13e0f3ed2516d2fd711e3c4b0492dd9de15a54e246e7f35b5ac,dc97e5f9546c9102,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4617152727091592,0.45852067337405233,0.4620800481204849,0.4597119770384044,0.5332874578117374,0.4671940893167537,0.4677273187621619,0.4714384374679902,0.46943054475669355,0.4706554102711301,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4704745653915363,0.005612499999999965,0.2380923457398864,True,unconstrained_latent_information_upper_bound,0.75
F,positive ZIP-continuity benefit,0,P6,capacity_constrained_greedy_optimization,0.25,200,600,420,0.30000000000000004,45.8421785812562,0.4589403129284843,0.4583977003032876,0.7029544111314228,0.675,0.0,0.9809523809523809,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,12.732142857142858,0.2714285714285714,0.13423685665354196,0.351478551814982,0.2211201162830893,0.05641870734812682,0.14506847772496795,0.64374459746387,4a4595593dd06983c8727a3da629f89f3cc35c244fd3472ccf2cf387c0ebf27e,61f65b4af40b2d32,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4554223967189921,0.45179571187378637,0.4548422751739553,0.4539019425702444,0.5398193200875676,0.4604176883404323,0.4614611505259998,0.4647218029724758,0.4625760238953613,0.4640834573011637,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4704745653915363,0.012076865088248734,0.24455671082813518,True,unconstrained_latent_information_upper_bound,0.75
F,positive ZIP-continuity benefit,0,P4,threshold_hard_zip_sponsor_policy,0.75,200,600,420,0.30000000000000004,47.469758621200704,0.47526863140050923,0.4746120653915364,0.7029544111314228,0.16,0.021825396825396824,0.9380952380952381,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,17.982142857142858,0.2714285714285714,0.06375753634225623,0.201852480965933,0.09002982286642747,0.08927533401540633,0.051279540575389304,0.2801393988626157,fcf7170fc5e38803ad1c03bd2e50c87a6c2a533268c08b2d89db5100da1ab833,7050a2c1e22ec441,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.47146527270915917,0.46827067337405226,0.47183004812048485,0.46946197703840425,0.5235374578117373,0.47694408931675364,0.4774773187621618,0.4811884374679901,0.4791805447566936,0.48040541027113004,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4746120653915364,0.0,0.22834234573988638,True,unconstrained_latent_information_upper_bound,0.75
F,positive ZIP-continuity benefit,0,P5,threshold_soft_zip_bonus,0.75,200,600,420,0.30000000000000004,46.678508621200706,0.4673561314005092,0.46669956539153634,0.7029544111314228,0.16,0.0,0.8071428571428572,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,17.017857142857142,0.2714285714285714,0.07656995923906296,0.20037019476109708,0.09317214691681686,0.08880961932967807,0.06412500126409493,0.2483587518999663,0f8e840ba83742f17f58d4f9c054d99a4b6f90243361556b84c7ced2628b764a,4f84240a16b70f35,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.46355277270915923,0.46035817337405227,0.46391754812048497,0.4615494770384043,0.5314499578117374,0.46903158931675365,0.46956481876216183,0.4732759374679902,0.4712680447566936,0.4724929102711301,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4746120653915364,0.007912500000000044,0.23625484573988642,True,unconstrained_latent_information_upper_bound,0.75
F,positive ZIP-continuity benefit,0,P6,capacity_constrained_greedy_optimization,0.75,200,600,420,0.30000000000000004,45.8421785812562,0.4589403129284843,0.4583977003032876,0.7029544111314228,0.16,0.0,0.9809523809523809,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,12.732142857142858,0.2714285714285714,0.13423685665354196,0.351478551814982,0.2211201162830893,0.05641870734812682,0.14506847772496795,0.64374459746387,2350c8f98aed1a34bcd40ea2c6d8f70a7f03abc48a205b484ffce42102234fed,2201553338598705,1c43b094085f16de35ae0156f4405b86aadc4ae13ebed174cbf06d02664514e4,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.4554223967189921,0.45179571187378637,0.4548422751739553,0.4539019425702444,0.5398193200875676,0.4604176883404323,0.4614611505259998,0.4647218029724758,0.4625760238953613,0.4640834573011637,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4746120653915364,0.016214365088248806,0.24455671082813518,True,unconstrained_latent_information_upper_bound,0.75
G,sparse ZIP coverage,0,P4,threshold_hard_zip_sponsor_policy,0.25,200,600,420,0.30000000000000004,42.638508621200714,0.4269561314005093,0.4262995653915364,0.6324408529703586,0.675,0.13333333333333333,0.49523809523809526,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,16.875,0.2714285714285714,0.05419501999704124,0.1758192876696439,0.0886748721115671,0.08017393534442357,0.04054003634007686,0.2695429380627378,ad4ad304bc9c7a23f89225c56f8ab7de8d4211517c8362630dc65708c695113f,7f79e8b85aa4a3b4,d255a591d21a4287f643a862490bb96552cb815fcc5a1e0e05c5785516154532,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4231527727091593,0.41995817337405233,0.423517548120485,0.42114947703840444,0.5718499578117374,0.4286315893167537,0.42916481876216184,0.4328759374679902,0.4308680447566936,0.4320929102711301,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4262995653915364,0.0,0.20614128757882216,True,unconstrained_latent_information_upper_bound,0.75
G,sparse ZIP coverage,0,P5,threshold_soft_zip_bonus,0.25,200,600,420,0.30000000000000004,42.20350862120071,0.42260613140050934,0.42194956539153644,0.6324408529703586,0.675,0.0,0.3,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,17.589285714285715,0.2714285714285714,0.062074463205795294,0.17986363684590467,0.08820947166270177,0.08016996141719585,0.045014801070414834,0.23917717665142385,90cc1b0fd00a90277bea9c3c08618f8ad59124b0bcd1b05d22fc23330bdf00a2,a5c7dbca4ae78aad,d255a591d21a4287f643a862490bb96552cb815fcc5a1e0e05c5785516154532,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4188027727091593,0.41560817337405226,0.4191675481204849,0.41679947703840436,0.5761999578117374,0.4242815893167537,0.42481481876216187,0.42852593746799017,0.4265180447566936,0.4277429102711302,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4262995653915364,0.004349999999999965,0.21049128757882213,True,unconstrained_latent_information_upper_bound,0.75
G,sparse ZIP coverage,0,P6,capacity_constrained_greedy_optimization,0.25,200,600,420,0.30000000000000004,41.24717858125621,0.4129903129284844,0.41244770030328765,0.6324408529703586,0.675,0.0,0.75,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,12.446428571428571,0.2714285714285714,0.1198047483815432,0.3159020896699372,0.19985132599066113,0.05268169046920651,0.12846738645382905,0.5732309647219465,545084db52c9fbe20488033eb2ebbf7f57095ded2accd782778455e7d4f62337,6e3e113a0f3f6a6f,d255a591d21a4287f643a862490bb96552cb815fcc5a1e0e05c5785516154532,True,True,True,True,False,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.33454808638309824,persisted_reference_ecdf,True,True,False,0.4094723967189922,0.4058457118737864,0.4088922751739553,0.4079519425702445,0.5857693200875675,0.4144676883404323,0.4155111505259999,0.4187718029724758,0.4166260238953613,0.41813345730116375,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4262995653915364,0.01385186508824876,0.21999315266707092,True,unconstrained_latent_information_upper_bound,0.75
G,sparse ZIP coverage,0,P4,threshold_hard_zip_sponsor_policy,0.75,200,600,420,0.30000000000000004,43.1747586212007,0.43231863140050936,0.4316620653915364,0.6324408529703586,0.16,0.1746031746031746,0.7119047619047619,0.7278708115918284,0.29761904761904767,0.29761904761904767,0.0,1.0,14.553571428571429,0.2714285714285714,0.05680628002317967,0.1688396919756298,0.08649556555314292,0.08128360544124191,0.034978253511296964,0.2604060377255386,04a02e2be0fa0aed9eea9e5e417c894d72c057ed93b627c656a03c08c6910248,a02b91dfb0761268,d255a591d21a4287f643a862490bb96552cb815fcc5a1e0e05c5785516154532,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.4285152727091592,0.42532067337405227,0.42888004812048486,0.4265119770384044,0.5664874578117375,0.43399408931675376,0.4345273187621619,0.4382384374679901,0.43623054475669365,0.43745541027113005,33cf4c1d243131a52e4341d8d681a56379ff183a2fc8d62ee54f8bdb043103cd,design_001_roster_0.75_capacity_0.7_zip_0.2,0.7,0.2,18,14,4,0.4316620653915364,0.0,0.20077878757882217,True,unconstrained_latent_information_upper_bound,0.75
