factor,reliability,mean_risk_uncertainty,spearman_rho_vs_default,high_risk_change_rate,route_change_rate,recommendation_change_rate,mean_risk_score_check,reliability_affects_assignment_mean,reliability_role,public_data_only,synthetic_data,production_validated,risk_reference_id
health_status,0.1,0.06355395055346727,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.2,0.05995837478249282,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.3,0.056362799011518375,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.4,0.05276722324054393,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.5,0.04917164746956951,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.6,0.04557607169859506,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.7,0.04198049592762061,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.8,0.038384920156646164,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,0.9,0.03478934438567172,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
health_status,1.0,0.031193768614697293,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.1,0.04766548431575962,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.2,0.04593913986686843,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.3,0.044212795417977235,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.4,0.042486450969086056,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.5,0.040760106520194864,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.6,0.03903376207130367,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.7,0.03730741762241248,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.8,0.035581073173521285,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,0.9,0.03385472872463009,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
age_group,1.0,0.03212838427573892,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.1,0.04237793439201398,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.2,0.04112641733977005,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.3,0.03987490028752612,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.4,0.03862338323528219,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
