scenario,scenario_description,seed,policy,policy_name,threshold_percentile,n_patients,n_service_needs,assigned_count,unassigned_rate,tps_proxy,simulated_outcome_utility,expected_outcome_utility,scenario_oracle_utility,high_risk_full_pool_share,zip_fallback_rate,zip_continuity_rate,workload_spread,workload_gini,new_assignment_workload_gini,max_overload,mean_utilization,travel_proxy,top_tier_access_rate,fairness_gap_age_group,fairness_gap_zip,fairness_gap_area_type,fairness_gap_housing_type,fairness_gap_house_price_group,fairness_gap_clinical_need_decile,assignment_signature,threshold_rerun_id,rerun_design_fingerprint,common_random_numbers,capacity_constraints_enforced,availability_constraints_enforced,discipline_constraints_enforced,ot_deterministic_rotation_preserved,cms_model,performance_year,payment_year,measure_set_version,cms_version_locked,threshold_source,risk_reference_id,risk_reference_config_hash,risk_reference_sample_size,threshold_raw_equivalent,risk_percentile_semantics,public_data_only,synthetic_data,production_validated,metric_performance_DFS,metric_performance_Dyspnea,metric_performance_Oral_Meds,metric_performance_DTC,metric_performance_PPH,metric_performance_Care_of_Patients,metric_performance_Communications,metric_performance_Care_Issues,metric_performance_Agency_Rating,metric_performance_Recommend,config_hash,design_label,capacity_ratio,zip_sparsity,roster_RN,roster_PT,roster_OT,best_included_policy_utility,regret_vs_best_included_policy,regret_vs_scenario_oracle,oracle_regret_available,regret_reference,roster_scale
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.0,100,300,300,0.0,61.056566538575844,0.6114517821875006,0.6111343458691494,0.6516065782696439,1.0,0.0,0.8066666666666666,0.6784295591044561,0.3109722222222222,0.3109722222222222,0.0,0.9490523182957394,16.775,0.2633333333333333,0.05583385246617989,0.07309922971304172,0.05222837936354441,0.014188131911648472,0.0542371286193577,0.14681353047866486,7fb69ecd86c1abeac144faa6e124ef4362c0335ae96e14e10153e73ac1d8cd91,fd9d3f5fcf75c71c,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.0,persisted_reference_ecdf,True,True,False,0.6076351874052873,0.6063658761888304,0.6053936230454766,0.6061785830368976,0.38860748172976717,0.6115726209415685,0.6085701980571039,0.6151369475459693,0.6181754912742343,0.6240967761094046,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6111343458691494,0.0,0.04047223240049447,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.01,100,300,300,0.0,61.09243841630414,0.6118105009647837,0.6114930646464325,0.6516065782696439,0.98,0.0,0.8133333333333334,0.6792152334373348,0.3111111111111111,0.3111111111111111,0.0,0.9490575396825397,16.65,0.26666666666666666,0.06125764261442801,0.07262751503692366,0.0528373131568215,0.015207686345439564,0.05415905633644691,0.1471120928634596,c926ad2eaef74b683a242a54c671c9330075ed59486d7dc6e93002b1d74c5016,e6a93ddc610d557f,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.12029386394897064,persisted_reference_ecdf,True,True,False,0.6079939061825704,0.6067245949661135,0.6057523418227597,0.6065373018141808,0.3882487629524841,0.6119313397188516,0.608928916834387,0.6154956663232524,0.6185342100515174,0.6244554948866877,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6114930646464325,0.0,0.04011351362321136,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.02,100,300,300,0.0,61.11243841630415,0.6120105009647837,0.6116930646464325,0.6516065782696439,0.97,0.0,0.8166666666666667,0.6792152334373348,0.3111111111111111,0.3111111111111111,0.0,0.9490575396825397,16.45,0.26666666666666666,0.059212896320207986,0.07362381966046827,0.05339148636938784,0.015422739022751264,0.05464197049395081,0.14610568595234585,c7be9a2cc371aade05bd4a86153dee8ea624f5e682b0b1ff1cb349e4e35206a5,a8256ee215d3db59,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.14748792267911584,persisted_reference_ecdf,True,True,False,0.6081939061825704,0.6069245949661136,0.6059523418227598,0.6067373018141807,0.3880487629524841,0.6121313397188516,0.6091289168343871,0.6156956663232523,0.6187342100515174,0.6246554948866877,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6116930646464325,0.0,0.03991351362321138,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.03,100,300,300,0.0,61.13523390524035,0.6122384558541458,0.6119210195357946,0.6516065782696439,0.94,0.0,0.8266666666666667,0.6776429738438966,0.3104166666666668,0.3104166666666668,0.0,0.9498015873015874,16.55,0.2633333333333333,0.05967265339665595,0.07527791672019335,0.0540108582126434,0.014497968720262988,0.056408280526822674,0.14837738049789795,39ed871fcf1ac8585d5576f9fa4bd99520920626458c1e34a49d7d717c84cfa1,334772147e6a4f4c,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.1662391223792082,persisted_reference_ecdf,True,True,False,0.6084218610719325,0.6071525498554757,0.6061802967121218,0.6069652567035428,0.38782080806312197,0.6123592946082137,0.6093568717237491,0.6159236212126145,0.6189621649408796,0.6248834497760498,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6119210195357946,0.0,0.03968555873384927,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.04,100,300,300,0.0,61.13523390524035,0.6122384558541458,0.6119210195357946,0.6516065782696439,0.94,0.0,0.8266666666666667,0.6776429738438966,0.3104166666666668,0.3104166666666668,0.0,0.9498015873015874,16.55,0.2633333333333333,0.05967265339665595,0.07527791672019335,0.0540108582126434,0.014497968720262988,0.056408280526822674,0.14837738049789795,39ed871fcf1ac8585d5576f9fa4bd99520920626458c1e34a49d7d717c84cfa1,dffb75f00b1c6850,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.1868726529323622,persisted_reference_ecdf,True,True,False,0.6084218610719325,0.6071525498554757,0.6061802967121218,0.6069652567035428,0.38782080806312197,0.6123592946082137,0.6093568717237491,0.6159236212126145,0.6189621649408796,0.6248834497760498,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6119210195357946,0.0,0.03968555873384927,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.05,100,300,300,0.0,61.13523390524035,0.6122384558541458,0.6119210195357946,0.6516065782696439,0.94,0.0,0.8266666666666667,0.6776429738438966,0.3104166666666668,0.3104166666666668,0.0,0.9498015873015874,16.55,0.2633333333333333,0.05967265339665595,0.07527791672019335,0.0540108582126434,0.014497968720262988,0.056408280526822674,0.14837738049789795,39ed871fcf1ac8585d5576f9fa4bd99520920626458c1e34a49d7d717c84cfa1,9b0598f73391223c,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.20366511251417815,persisted_reference_ecdf,True,True,False,0.6084218610719325,0.6071525498554757,0.6061802967121218,0.6069652567035428,0.38782080806312197,0.6123592946082137,0.6093568717237491,0.6159236212126145,0.6189621649408796,0.6248834497760498,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6119210195357946,0.0,0.03968555873384927,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.06,100,300,300,0.0,61.15840154939225,0.6124701322956648,0.6121526959773136,0.6516065782696439,0.92,0.0,0.84,0.6784295591044561,0.3105555555555557,0.3105555555555557,0.0,0.9498511904761905,16.925,0.2633333333333333,0.06336352456708538,0.07542289643736211,0.054352095182597204,0.014347056276214909,0.05659603541404756,0.14967075404090868,f91c768ddab5e7082f5402e89338c0d806b9b23110ee16eb9c04f0cccecd768a,99a303c1ae27f3f1,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.21006377529131207,persisted_reference_ecdf,True,True,False,0.6086535375134515,0.6073842262969947,0.6064119731536408,0.6071969331450618,0.38758913162160297,0.6125909710497327,0.6095885481652681,0.6161552976541335,0.6191938413823986,0.6251151262175688,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6121526959773136,0.0,0.03945388229233027,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.07,100,300,300,0.0,61.15090154939226,0.6123951322956648,0.6120776959773135,0.6516065782696439,0.9,0.0,0.8333333333333334,0.6784295591044561,0.3105555555555557,0.3105555555555557,0.0,0.9498511904761905,16.675,0.2633333333333333,0.05890817188897324,0.07527791672019335,0.054259550976959225,0.014524726287490242,0.0563032846597783,0.1489218901080246,0001e941ccbdb9b86a5455cd9f9dbe91855033ea287f0aba2df314a5dedda5fd,901e728ddda512e5,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.22057912895695653,persisted_reference_ecdf,True,True,False,0.6085785375134515,0.6073092262969946,0.6063369731536408,0.6071219331450618,0.387664131621603,0.6125159710497327,0.6095135481652681,0.6160802976541334,0.6191188413823987,0.6250401262175689,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6120776959773135,0.0,0.039528882292330314,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.08,100,300,300,0.0,61.15090154939226,0.6123951322956648,0.6120776959773135,0.6516065782696439,0.89,0.0,0.8333333333333334,0.6784295591044561,0.3105555555555557,0.3105555555555557,0.0,0.9498511904761905,16.675,0.2633333333333333,0.05988108494075017,0.07527791672019335,0.054259550976959225,0.015420952244688313,0.05704060286071955,0.15019990832298924,4224b5e363d08cbe0f3fd635241481c24fb495437c71c1b5b557354583b3a1c5,518f7cfde81743fc,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.2289165561014896,persisted_reference_ecdf,True,True,False,0.6085785375134515,0.6073092262969946,0.6063369731536408,0.6071219331450618,0.387664131621603,0.6125159710497327,0.6095135481652681,0.6160802976541334,0.6191188413823987,0.6250401262175689,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6120776959773135,0.0,0.039528882292330314,True,unconstrained_latent_information_upper_bound,1.0
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.09,100,300,300,0.0,61.164274483983135,0.6125288616415736,0.6122114253232224,0.6516065782696439,0.86,0.0,0.84,0.6831300510639733,0.3138888888888889,0.3138888888888889,0.0,0.9464285714285715,16.85,0.2633333333333333,0.05946806553742712,0.0742103630141121,0.05388365061679623,0.015146029986712217,0.055774497172733195,0.14970932970988438,7768029e064749a3f074dae5a6ce5522b835ba4cbad38468c1e5c96ea249ab0f,6fd0cd6c199a7dc1,7107cb46217a629de56ffd38cf8dfd8178f655d170d05e56263f319ea4d31cfa,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.2391614472285869,persisted_reference_ecdf,True,True,False,0.6087122668593603,0.6074429556429035,0.6064707024995496,0.6072556624909706,0.38753040227569413,0.6126497003956415,0.609647277511177,0.6162140270000424,0.6192525707283075,0.6251738555634777,c9f241bd48728fad51419b27029bd75a77f9fa2e2b31c79e2edbb07d92b30444,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6122114253232224,0.0,0.039395152946421486,True,unconstrained_latent_information_upper_bound,1.0
